id;card_id;name;type;element;sub_type;level;attack;health;rarity;description;image_path;expansion;card_number;skills;passive_skill;created_at;updated_at;spektra_cost;duplicate_group;effect_type;effect_value;effect_value_2;effect_target;;
1;fire-witch-trainee;Witch Trainee;avatar;fire;kujana;1;2;6;Common;Avatar - Kujana Witch;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Witch Trainee.webp;Fire and Water;GEN-001;"[{""id"":""doomflare"",""name"":""Doomflare"",""damage"":2,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Borah or Kobar type Avatar"",""spektraCost"":[""fire"",""fire""]}]";;"""2026-01-09T06:52:51.395Z""";"""2026-02-17T13:47:56.256Z""";;GEN-001;;;;;;
2;fire-shaman-kujana;Shaman;avatar;fire;kujana;1;1;6;Common;Avatar - Kujana Witch;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Shaman B.webp;Fire and Water;GEN-002;"[{""id"":""spread-flame"",""name"":""Spread Flame"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""fire""]}]";;"""2026-01-09T06:52:53.610Z""";"""2026-02-17T13:47:56.301Z""";;GEN-005;;;;;;
3;fire-repo-girl;Repo Girl;avatar;fire;kujana;1;2;5;Common;Avatar - Kujana Human;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Repo Girl.webp;Fire and Water;GEN-003;"[{""id"":""kick"",""name"":""Kick"",""damage"":2,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""fire""]}]";;"""2026-01-09T06:52:53.662Z""";"""2026-02-17T13:47:56.352Z""";;GEN-003;;;;;;
4;fire-thug;Thug;avatar;fire;kuhaka;1;1;5;Common;Avatar - Kuhaka Human;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Thug A.webp;Fire and Water;GEN-004;"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]";;"""2026-01-09T06:52:53.711Z""";"""2026-02-17T13:47:56.393Z""";;GEN-004;;;;;;
5;fire-shaman-kuhaka;Shaman;avatar;fire;kuhaka;1;3;6;Common;Avatar - Kuhaka Witch;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Shaman A.webp;Fire and Water;GEN-005;"[{""id"":""concentrated-flame"",""name"":""Concentrated Flame"",""damage"":3,""conditions"":[],""description"":""Direct flame attack"",""spektraCost"":[""fire"",""fire""]}]";;"""2026-01-09T06:52:53.759Z""";"""2026-02-17T13:47:56.439Z""";;GEN-005;;;;;;
6;fire-goldie;Goldie;avatar;fire;kuhaka;1;1;8;Common;Avatar - Kuhaka Human;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Goldie.webp;Fire and Water;GEN-006;"[{""id"":""body-slam"",""name"":""Body Slam"",""damage"":1,""conditions"":[],""description"":""Physical attack"",""spektraCost"":[""fire""]}]";;"""2026-01-09T06:52:53.804Z""";"""2026-02-17T13:47:56.480Z""";;GEN-006;;;;;;
7;fire-kobar-trainee-a;Kobar Trainee A;avatar;fire;kobar;1;4;6;Common;Avatar - Kobar Fighter;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee A.webp;Fire and Water;GEN-007;"[{""id"":""reckless-fire"",""name"":""Reckless Fire"",""damage"":4,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to self after attack."",""spektraCost"":[""fire"",""fire""]}]";;"""2026-01-09T06:52:53.851Z""";"""2026-02-17T13:47:56.526Z""";;GEN-007;;;;;;
8;fire-kobar-trainee-b;Kobar Trainee B;avatar;fire;kobar;1;2;5;Common;Avatar - Kobar Fighter;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee B.webp;Fire and Water;GEN-008;"[{""id"":""ash-flick"",""name"":""Ash Flick"",""damage"":2,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]}]";;"""2026-01-09T06:52:53.898Z""";"""2026-02-17T13:47:56.567Z""";;GEN-008;;;;;;
9;fire-kobar-trainee-c;Kobar Trainee C;avatar;fire;kobar;1;2;5;Common;Avatar - Kobar Fighter;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee C.webp;Fire and Water;GEN-009;"[{""id"":""wildbone-blade"",""name"":""Wildbone Blade"",""damage"":2,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire""]}]";;"""2026-01-09T06:52:53.946Z""";"""2026-02-17T13:47:56.613Z""";;GEN-009;;;;;;
10;fire-borah-trainee-a;Borah Trainee A;avatar;fire;borah;1;1;5;Common;Avatar - Borah Fighter;/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Borah Trainee A.webp;Fire and Water;GEN-010;"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]";;"""2026-01-09T06:52:53.993Z""";"""2026-02-17T13:47:56.655Z""";;GEN-010;;;;;;
